week,dead_bird_number,result,tract_num
19,22-249,Negative,6067007026
19,22-122,Negative,6067002100
19,22-123,Negative,6067002900
19,22-124,Negative,6067007905
19,22-131,Negative,6067004016
19,22-136,Negative,6067004006
19,22-142,Negative,6067007602
19,22-140,Negative,6067008708
19,22-158,Negative,6067008708
19,22-157,Negative,6067008708
19,22-154,Negative,6067009329
19,22-152,Negative,6067009409
19,22-159,Negative,6067008707
19,22-164,Negative,6067009616
19,22-201,Negative,6067001702
19,22-206,Negative,6067009326
19,22-208,Negative,6067003400
19,22-221,Negative,6067005004
19,22-220,Negative,6067005004
19,22-217,Negative,6067008602
19,22-215,Negative,6067005404
19,22-226,Negative,6067001601
19,22-222,Negative,6067005804
19,22-228,Negative,6067009004
19,22-236,Negative,6067005901
19,22-246,Negative,6067005506
19,22-244,Negative,6067007026
19,22-258,Negative,6067001500
19,22-253,Negative,6067007016
19,22-260,Negative,6067008125
19,22-256,Negative,6067009329
19,22-248,Negative,6067007026
19,22-254,Negative,6067008210
19,22-247,Negative,6067007026
19,22-266,Negative,6067001900
19,22-269,Negative,6067009641
19,22-270,Negative,6067001500
20,22-274,Negative,6067009503
20,22-273,Negative,6067009503
20,22-286,Negative,6067005601
20,22-275,Negative,6067009648
20,22-287,Negative,6067008905
20,22-284,Negative,6067005601
20,22-277,Negative,6067003001
20,22-285,Negative,6067005601
20,22-294,Negative,6067008203
20,22-299,Negative,6067008139
20,22-319,Negative,6067009307
20,22-313,Negative,6067002300
20,22-312,Negative,6067002300
21,22-368,Negative,6067009642
21,22-378,Negative,6067005803
21,22-379,Negative,6067005803
21,22-380,Negative,6067008119
21,22-384,Negative,6067008706
21,22-383,Negative,6067009308
21,22-387,Negative,6067009320
21,22-416,Negative,6067008141
21,22-424,Negative,6067008008
21,22-408,Negative,6067005601
21,22-401,Negative,6067009622
21,22-399,Negative,6067003300
21,22-407,Negative,6067005601
21,22-388,Negative,6067005804
21,22-414,Negative,6067001702
21,22-423,Negative,6067002200
22,22-429,Negative,6067005903
22,22-431,Negative,6067005903
22,22-430,Negative,6067005903
22,22-455,Negative,6067009404
22,22-451,Negative,6067009109
22,22-469,Negative,6067008507
22,22-491,Negative,6067007504
22,22-484,Negative,6067007603
22,22-476,Negative,6067009320
22,22-487,Negative,6067008905
22,22-475,Negative,6067004801
22,22-495,Negative,6067008505
22,22-486,Negative,6067004014
22,22-506,Negative,6067009107
22,22-505,Negative,6067009107
23,22-545,Negative,6067009900
23,22-544,Negative,6067009900
23,22-540,Negative,6067007206
23,22-516,Negative,6067002400
23,22-501,Negative,6067009410
23,22-502,Negative,6067008704
23,22-523,Negative,6067007017
23,22-517,Negative,6067008138
23,22-512,Negative,6067003400
23,22-535,Negative,6067008144
23,22-547,Negative,6067008404
