tract_num,total_population,over_65,median_income,housing_density,percent_vacant_units,percent_white,percent_black,percent_native,percent_asian,percent_hawaiian,percent_other,percent_two_or_more,percent_hispanic,other_language_spoken_at_home
6037101110,3879,22.5,68529,2.15,2.93,69.84,1.8,0.15,10.44,0,6.86,12.43,25.91,55.25
6037101122,4247,21.7,108198,3.08,1.38,70.17,1.65,0,14.29,0,5.77,7.44,7.98,56.97
6037101220,3583,13.9,59119,2.65,3.18,55.21,1.54,2.51,9.52,0,16.94,15.6,49.76,63.26
6037101221,3723,15.7,48305,2.73,4.26,68.36,1.84,0,5.61,0,17.94,5.48,32.31,68.12
6037101222,2690,14.3,32106,2.58,1.73,89.37,3.32,0,4.87,2.12,1.56,1.45,34.01,70.74
6037101300,4068,26.9,111393,2.52,2.73,80.7,1.98,0,3.98,0,4.92,9.02,14.75,49.33
6037101400,3372,19.5,68000,2.17,4.45,71.71,2.13,0,8.1,0,2.49,17.35,21.71,44.97
6037102103,1767,12.7,65481,2.21,2.38,81.49,4.61,0,8.38,0,2.94,5.6,9.28,55.15
6037102104,4003,18.9,91402,2.96,1.48,77.57,1.94,0.37,10.09,0,0.92,9.14,15.14,58.47
6037102105,1674,11.8,84519,2.92,1.75,43.25,2.58,1.61,6.39,0.48,21.92,25.99,63.8,66.09
6037102107,3920,19.2,90625,2.91,3.19,77.42,1.98,0,11.73,0,4.16,5.05,19.64,38.55
6037103101,2481,16.4,121705,2.52,2.03,72.31,2.91,0,8.59,0,6.09,12.17,26.6,47.66
6037103102,4692,16.2,75203,2.71,2.94,73.38,1.56,0,8.8,0,12.85,4.97,24.81,57.61
6037103201,4179,17.5,77377,2.35,3.32,80.71,1.93,0,3.85,0.12,0.79,13.78,31.3,37.21
6037103202,2082,28.3,104747,3.03,4.37,74.93,3.6,0,2.69,0,21.76,0.58,22.67,14.46
6037103300,3842,20.7,129904,2.7,4.71,76.5,1.99,0.6,7.5,0,2.19,10.93,18.35,28.3
6037103401,2643,22.4,110323,2.59,3.52,65.42,2.48,0.61,25.99,0,0.53,7.45,8.59,42.39
6037103402,3902,16.3,105500,2.46,2.59,57.92,1.48,0,13.12,0,13.74,3.72,22.81,44.67
6037104103,4204,16.7,105921,4.91,1.87,41.01,0.98,0.69,4.8,0,11.23,29.16,74.71,62.83
6037104105,5789,13.8,51711,3.34,1.04,44.45,0.77,0.66,5.29,0,31.4,13.82,85.44,75.64
6037104108,5138,10.4,58784,3.09,2.16,46.13,0.9,0.27,1.71,0.58,33.46,12.5,86.63,72.77
6037104124,3889,15.5,68772,2.91,3.07,52.92,1.36,3.19,9.75,0,12.11,9.62,47.47,48.63
6037104201,4599,13.5,83462,5.14,1.34,35.42,0.77,1.3,0.3,0,38.53,12.26,86.63,72.73
6037104203,5178,9.2,55875,4.46,1.81,47.61,0.92,1.56,0.37,0,28.25,16.47,91.91,81.06
6037104204,3749,10.1,61927,5.23,0.98,52.95,1.41,1.71,5.2,0,18.3,16.4,78.34,73.94
6037104310,4875,11.4,86635,5.51,3.16,37.42,0.77,0,0.08,0,43.41,16.7,92.92,75.47
6037104321,3115,15.3,31714,4.19,4.57,42.09,1.35,0,0.29,0,32.94,21.57,93,83.69
6037104322,1892,9,59550,3.79,5.41,49,2.59,0.11,1.59,0,41.12,7.24,90.7,83.63
6037104401,3066,10.9,66563,4.62,2.87,47.49,1.55,0.42,1.04,0.2,43.71,6.13,94.59,78.12
6037104403,2724,18,85096,4.1,3.31,41.52,1.52,0,7.49,0,37.3,13.69,90.93,84.8
6037104404,3413,11.4,71202,4.93,2.31,40.96,1.2,0.41,2.31,0,41.75,14.56,95.43,76.92
6037104500,3119,9.4,69167,4.63,3.12,41.49,1.33,0.22,0.03,0,33.06,25.17,97.08,82.23
6037104610,3274,11.8,73167,4.34,3.85,43.83,1.34,0.95,0,0,46.79,8.43,98.11,88.91
6037104620,3490,11.1,76304,4.94,1.84,43.04,1.23,1.06,0.6,0,34.84,19.37,97.79,86.09
6037104701,3812,7.5,45984,3.48,1.64,55.82,1.46,0.97,0.26,0.5,34.81,7.14,97.53,87.6
6037104703,2367,8.4,55451,3.61,5.65,42.97,1.82,0.25,0,0,27.17,22.69,86.1,82.09
6037104704,4487,10.1,45781,3.39,2.79,41.32,0.92,0,5.53,0,25.05,19.37,77.31,79.56
6037104821,3514,11,75662,4.02,1.83,42.74,1.22,0.26,1.25,0,37.36,17.19,92.94,81.23
6037104822,2668,12.1,56208,4.31,1.13,46.96,1.76,1.99,3.94,0,33.1,13.57,93.78,83.86
6037104823,3346,6.8,86488,4.75,3.27,33.14,0.99,0.36,11.21,0,24.36,30.93,86.97,78.14
6037104824,2781,12.1,81149,5.99,2.37,31.97,1.15,1.87,0.58,0,41.93,22.91,95.86,85.63
6037106010,3494,12.5,99352,3.45,3.16,53.03,1.52,0.8,2.26,0,19.58,23.41,74.96,51.16
6037106020,4790,14.8,101140,3.33,2.36,53.47,1.12,1.23,3.05,0,34.07,7.85,78.83,71.08
6037106111,4694,15.3,111364,3.46,3.32,52.51,1.12,0,10.84,0,16.72,12.59,58.88,52.84
6037106112,5167,13.2,101563,3.19,2.47,53.78,1.04,5.69,7.64,0.7,19.82,8.59,69.85,55.62
6037106113,3797,12.2,104922,3.82,1.01,58.57,1.54,0.61,6.19,0.03,12.9,18.28,74.22,59.02
