county,site_code
Yolo,3287
Yolo,103007
Yolo,114001
Yolo,115002
Yolo,115008
Yolo,116003
Yolo,124007
Yolo,125004
Yolo,125011
Yolo,125021
Yolo,125025
Yolo,125030
Yolo,135005
Yolo,135016
Yolo,135019
Yolo,135020
Yolo,136010
Yolo,143008
Yolo,145005
Yolo,145008
Yolo,145009
Yolo,145010
Yolo,145013
Yolo,145016
Yolo,145020
Yolo,146002
Yolo,146006
Sacramento,202016
Sacramento,203003
Sacramento,203032
Sacramento,204011
Sacramento,204045
Sacramento,204051
Sacramento,204317
Sacramento,212033
Sacramento,213002
Sacramento,213009
Sacramento,213017
Sacramento,213048
Sacramento,213055
Sacramento,214006
Sacramento,214008
Sacramento,214013
Sacramento,214020
Sacramento,214053
Sacramento,223023
Sacramento,232039
Sacramento,233009
Sacramento,242013
Sacramento,243026
Sacramento,245002
Sacramento,245026
Sacramento,254011
Sacramento,254021
Sacramento,271003
Sacramento,271007
Yolo,398480
