site_code,pop_class,County,,Address,Full FIPS
213015,Suburban,Sacramento County,,"5201 Carlson Dr, Sacramento, CA, 95819",6067000100
262001,Rural,Sacramento County,,"3707 Erlewine Cir, Sacramento, CA, 95819",6067000100
213029,Suburban,Sacramento County,,"623 42nd St, Sacramento, CA, 95819",6067000200
223038,Suburban,Sacramento County,,"160 45th St, Sacramento, CA, 95819",6067000200
212022,Suburban,Sacramento County,,"3750 Elvas Ave, Sacramento, CA, 95819",6067000300
215006,Suburban,Sacramento County,,"568 35th St, Sacramento, CA, 95816",6067000300
223039,Suburban,Sacramento County,,"3101 B St, Sacramento, CA, 95816",6067000300
204007,Suburban,Sacramento County,,"2805 B St, Sacramento, CA, 95816",6067000400
213046,Suburban,Sacramento County,,"2204 Chinatown Aly, Sacramento, CA, 95816",6067000400
213059,,Sacramento County,,"2727 B St, Sacramento, CA, 95816",6067000400
222025,Suburban,Sacramento County,,"317 25th St, Sacramento, CA, 95816",6067000400
233041,Suburban,Sacramento County,,"915 F St, Sacramento, CA, 95814",6067000600
205017,Suburban,Sacramento County,,"1400 2nd St, Sacramento, CA, 95814",6067000800
202001,Rural,Sacramento County,,"1301 L St, Sacramento, CA, 95814",6067001103
233009,Suburban,Sacramento County,,"1301 L St, Sacramento, CA, 95814",6067001103
212023,Suburban,Sacramento County,,"2605 K St, Sacramento, CA, 95816",6067001400
214021,Suburban,Sacramento County,,"916 28th St, Sacramento, CA, 95816",6067001400
222006,Suburban,Sacramento County,,"2507 Capitol Ave, Sacramento, CA, 95816",6067001400
234025,Rural,Sacramento County,,"1157 51st St, Sacramento, CA, 95819",6067001601
251002,Rural,Sacramento County,,"4300 Folsom Blvd, Sacramento, CA, 95819",6067001602
223008,Suburban,Sacramento County,,"6001 S St, Sacramento, CA, 95817",6067001701
223044,Suburban,Sacramento County,,"2716 60th St, Sacramento, CA, 95817",6067001701
213027,Suburban,Sacramento County,,"1822 45th St, Sacramento, CA, 95819",6067001702
234014,Suburban,Sacramento County,,"230 Fairgrounds Dr, Sacramento, CA, 95817",6067001702
222041,Suburban,Sacramento County,,"3850 4th Ave, Sacramento, CA, 95817",6067001800
