tract_num,total_population,over_65,median_income,housing_density,percent_vacant_units,percent_white,percent_black,percent_native,percent_asian,percent_native_hawaiian,percent_other,percent_two_or_more_races,percent_hispanic,percent_white_not_hispanic,percent_male
6113010102,1931,3.8,65227,3.49,0,83,3.1,0,4.3,0,8.5,1.1,29.8,62.6,56.7
6113010103,5142,9.2,63119,2.84,11.53,60.6,5.2,0,6.4,0.9,14,12.9,41.8,41,46.6
6113010104,6201,13.2,63279,2.84,1.24,47.6,2.5,0.2,5.6,3.1,17.2,23.8,57.8,26,48.9
6113010105,1154,10.5,41111,1.25,29.51,50.1,20.6,2.5,8.1,0,3.1,15.6,17,41.3,43.1
6113010201,3390,12,69355,2.05,2.6,73.5,0,0.8,6.1,0,10.9,8.6,37.9,50.7,48
6113010203,5545,9.4,29718,2.66,1.82,64.3,12,1.4,5.4,0,7.4,9.4,55.8,25.5,50.2
6113010204,5990,14.5,51577,2.5,0.67,55.6,2.4,0.6,14.6,0,6.9,19.8,36.9,38.2,46.7
6113010310,6152,7.7,122813,3.08,5.81,60.5,5.8,0,11.9,1.1,7.9,12.8,24,50,45.7
6113010312,5809,13.2,107250,3.11,0.96,63.4,3,1,11.1,1.3,6.6,13.4,25.3,55.1,46.7
6113010313,4456,8,124618,2.72,1.34,57.1,2,0,19.4,2.4,4.6,14.6,20.8,50.8,48.1
6113010314,2003,12.4,125272,2.55,0,48.7,1.3,0,17.5,5,0.7,26.6,8.1,45.7,57.3
6113010315,1280,10.9,104000,2.61,0,82.6,0,2.4,5.6,0,8.2,1.2,14.7,77.3,49.1
6113010401,4887,19.7,133214,2.53,5.28,80,0.5,0.3,8.5,0,2.2,8.5,18.6,66.9,44.4
6113010402,4636,9.4,125352,3.31,1.86,53.5,6.9,0.5,26.6,0,2.1,10.3,11.2,46.6,53
6113010501,8902,0.2,24813,4.72,14.41,37.9,3.7,0.5,43.4,0.2,5.8,8.5,19.1,27.7,48.9
