site_code,pop_class,County,full_fips,has_mosquitoes
135019,Rural,Yolo County,6113010103,1
125025,Suburban,Yolo County,6113010203,1
145010,Suburban,Yolo County,6113010313,1
135020,Suburban,Yolo County,6113010401,1
3287,Suburban,Yolo County,6113010501,1
135005,Suburban,Yolo County,6113010505,1
145008,Suburban,Yolo County,6113010510,1
145013,Suburban,Yolo County,6113010511,1
143008,Rural,Yolo County,6113010602,1
146006,Suburban,Yolo County,6113010607,1
146002,Suburban,Yolo County,6113010610,1
136010,Rural,Yolo County,6113010701,1
145016,Suburban,Yolo County,6113010703,1
125004,Suburban,Yolo County,6113010902,1
125011,Suburban,Yolo County,6113011001,1
125021,Suburban,Yolo County,6113011204,1
124007,,Yolo County,6113011207,1
116003,Rural,Yolo County,6113011208,1
114001,Rural,Yolo County,6113011400,1
145020,Rural,Yolo County,6113011500,1
